code;label-en_US;label-de_CH;label-fr_FR;label-it_IT;attribute;sort_order
sui_01;Activities;Aktivitäten;Activités;Attività;leisure;0
sui_0111;Air sports;Luftsport;Sports aériens;Sport aerei;leisure;1
sui_011103;Hang gliding;Drachenfliegen;Deltaplane;Deltaplano;leisure;2
sui_011104;Hot air balloon flying;Heissluftballonfliegen;Vol en montgolfière;Volo in mongolfiera;leisure;3
sui_011101;Paragliding;Gleitschirmfliegen;Parapente;Parapendio;leisure;4
sui_011102;Skydiving;Fallschirmspringen;Parachutisme;Paracadutismo;leisure;5
sui_0109;Aquatics;Wassersport;Natation;Sport acquatico;leisure;6
sui_010904;Canoeing;Kanufahren;Canoé;Canoismo;leisure;7
sui_010901;Canyoning;Canyoning;Canyoning;Canyoning;leisure;8
sui_010913;Dive;Tauchen;Plonger;Tuffarsi;leisure;9
sui_010902;Fish;Fischen;Poisson;Pesce;leisure;10
sui_010903;Kayaking;Kajakfahren;Kayak;Kayak;leisure;11
sui_010915;Kitesurfing;Kitesurfen;Kitesurf;Kitesurf;leisure;12
sui_010916;Pedalos;Pedalos;Pédalos;Pedalò;leisure;13
sui_010905;Rafting;Rafting;Rafting;Fluitazione;leisure;14
sui_010906;Row;Rudern;Ramer;Fila;leisure;15
sui_010908;Sail;Segeln;Voile;Vela;leisure;16
sui_010911;SUPStandUpPaddling;SUPStandUpPaddling;SUPStandUpPaddling;SUPStandUpPaddling;leisure;17
sui_010912;Surfing;Surfen;Surf;Surf;leisure;18
sui_010907;Swim;Schwimmen;Nager;Nuotare;leisure;19
sui_010914;Waterskiing & Wakeboard;Wasserski & Wakeboard;Ski nautique & Wakeboard;Sci nautico & Wakeboard;leisure;20
sui_010917;Windsurfing;Windsurfen;Planche à voile;Windsurf;leisure;21
sui_0116;Athletics;Leichtathletik;Athlétisme;Atletica;leisure;22
sui_0108;Ball sports;Ballsport;Sports de balle;Sport con la palla;leisure;23
sui_010813;American football;American Football;Football américain;Football americano;leisure;24
sui_010801;Badminton;Badminton;Badminton;Badminton;leisure;25
sui_010814;Baseball;Baseball;Base-ball;Baseball;leisure;26
sui_010815;Basketball;Basketball;Basket-ball;Pallacanestro;leisure;27
sui_010802;Beach volleyball;Beachvolleyball;Beach-volley;Beach volley;leisure;28
sui_010803;Billiards;Billard;Billard;Biliardo;leisure;29
sui_010804;Bocce;Boccia;Lyonnaises;Bocce;leisure;30
sui_010817;Floorball;Unihockey;Floorball;Floorball;leisure;31
sui_010805;Football;Fussball;Football;Calcio;leisure;32
sui_010806;Gulf;Golf;Golfe;Golfo;leisure;33
sui_010807;Handball;Handball;Handball;Pallamano;leisure;34
sui_010809;Miniature golf;Minigolf;Golf miniature;Minigolf;leisure;35
sui_010808;Skittles;Kegeln;Skittles;Birillo;leisure;36
sui_010810;Squash;Squash;Courge;Schiacciare;leisure;37
sui_010816;Table tennis;Tischtennis;Ping-pong;Ping-pong;leisure;38
sui_010811;Tennis;Tennis;Tennis;Tennis;leisure;39
sui_010812;Volleyball;Volleyball;Volley-ball;Pallavolo;leisure;40
sui_0104;Climbing;Klettersport;Escalade;Arrampicata;leisure;41
sui_010401;Bouldering;Bouldern;Bloc;Bouldering;leisure;42
sui_010403;Climb;Klettern;Grimper;Arrampicarsi;leisure;43
sui_010402;Ice climbing;Eisklettern;Escalade sur glace;Arrampicata su ghiaccio;leisure;44
sui_010404;Sport climbing;Sportklettern;Escalade sportive;Arrampicata sportiva;leisure;45
sui_0102;Cycling;Velofahren;Cyclisme;Ciclismo;leisure;46
sui_010203;Bicycle;Fahrrad;Bicyclette;Bicicletta;leisure;47
sui_010201;E-Bike;E-Bike;Vélo électrique;E-Bike;leisure;48
sui_010202;E-mountain bike;E-Mountainbike;Vélo de montagne électrique;E-mountain bike;leisure;49
sui_010204;Gravel bike;Gravelbike;Vélo de gravier;Bici gravel;leisure;50
sui_010205;Mountain bike;Mountainbike;VTT;Rampichino;leisure;51
sui_010207;Racer;Rennrad;Coureur;Corridore;leisure;52
sui_0117;Dance;Tanzen;Danser;Ballo;leisure;53
sui_0115;Dog sports;Hundesport;Sports canins;Sport per cani;leisure;54
sui_0114;Equitation;Reitsport;Équitation;Equitazione;leisure;55
sui_011401;Ride;Reiten;Chevaucher;Cavalcare;leisure;56
sui_0107;Fitness;Fitness;Aptitude;Idoneità;leisure;57
sui_010701;Aerobics;Aerobic;Aérobic;Aerobica;leisure;58
sui_010702;Biathlon;Biathlon;Biathlon;Biathlon;leisure;59
sui_010703;Fitness training;Fitnesstraining;Entraînement physique;Allenamento fitness;leisure;60
sui_010705;Pilates;Pilates;Pilates;Pilates;leisure;61
sui_010706;Spinning;Spinning;Filage;Filatura;leisure;62
sui_010707;Triathlon;Triathlon;Triathlon;Triathlon;leisure;63
sui_010709;Wellness;Wellness;Bien-être;Benessere;leisure;64
sui_010708;Yoga;Yoga;Yoga;Yoga;leisure;65
sui_0105;Fun Sports;Fun-Sport;Sports amusants;Sport divertenti;leisure;66
sui_010502;Bungee jumping;Bungee-Jumping;Saut;Bungee jumping;leisure;67
sui_010519;Mountain cart;Mountaincart;Chariot de montagne;Carrello da montagna;leisure;68
sui_010520;Scooter;Trottinett;Trottinette;Monopattino;leisure;69
sui_010516;Ski jumping;Skispringen;Saut à ski;Salto con gli sci;leisure;70
