accessibility-jst-mountaindrive;accessibility;JST Mountain Drive;JST-Mountaindrive;JST Mountain Drive;JST Mountain Drive;2026-05-26T14:36:34.6652234+00:00
accessibility-swisstrack;accessibility;Swisstrack;Swisstrack;Swisstrack;Swisstrack;2026-05-26T14:58:13.0845319+00:00
accessibility-visual-impairment;accessibility;Visual impairment;Sehbehinderung;Déficience visuelle;Disabilità visiva;2026-05-26T14:36:35.3968553+00:00
accessibility-walking-only-less-than-10mins;accessibility;only reachable on foot-less-than-10min;nur zu Fuss erreichbar-weniger-als-10min;Accessible uniquement à pied à moins de 10 minutes;raggiungibile solo a piedi - meno di 10 minuti;2026-05-26T14:58:13.5745515+00:00
accessibility-walking-only-more-than-10mins;accessibility;only within walking distance-more-than-10min;nur zu Fuss erreichbar-mehr-als-10min;seulement à distance de marche-plus-de-10min;solo a pochi passi-più-di-10 minuti;2026-05-26T14:58:13.7346121+00:00
accessibility-walking-time-unknown;accessibility;only accessible on foot-no time;nur zu Fuss erreichbar-keine Zeitangabe;Accessible uniquement à pied, pas de temps;accessibile solo a piedi, senza tempo;2026-05-26T14:36:35.8526553+00:00
accessibility-wheelchair-accessible;accessibility;Wheelchair accessible;rollstuhlgängig;Accessible en fauteuil roulant;Accessibile ai disabili;2026-05-26T14:36:36.0630386+00:00
accessibility-wheelchair-inaccessbile;accessibility;not wheelchair accessible;nicht rollstuhlgängig;Non accessible en fauteuil roulant;non accessibile in sedia a rotelle;2026-05-26T14:36:36.5724694+00:00
accomodation-breakfastonly;accomodation;breakfast only;nur Frühstück;Petit-déjeuner seulement;solo colazione;2026-05-26T14:58:14.1471582+00:00
accomodation-groups;accomodation;Group accommodation;Gruppenunterkunft;Hébergement de groupe;Alloggi per gruppi;2026-05-26T14:36:37.0290205+00:00
atmosphere-alternativ-arty;atmosphere;Alternative Arty;Alternativ-Arty;Arty alternatif;Alternative Arty;2026-05-26T14:36:37.6136792+00:00
atmosphere-comedy;atmosphere;Comedy;comedy;Comédie;Commedia;2026-05-26T14:36:39.0547985+00:00
atmosphere-cool-and-trendy;atmosphere;trendy-hip;szenig-angesagt;branché-branché;trendy-hip;2026-05-26T14:36:41.7054654+00:00
atmosphere-cultural-and-inspiring;atmosphere;culturally inspiring;kulturell-inspirierend;Culturellement inspirant;Culturalmente stimolante;2026-05-26T14:36:42.7874207+00:00
atmosphere-glamurous-and-chic;atmosphere;Glam-chic;glam-chic;Glam-chic;Glam-chic;2026-05-26T14:36:43.1111135+00:00
atmosphere-lgbtq;atmosphere;LGBTQ;lgbtq;LGBTQ;LGBTQ;2026-05-26T14:36:43.1919539+00:00
atmosphere-lively-and-cheerful;atmosphere;cheerful and exuberant;fröhlich-ausgelassen;Gai et exubérant;allegro ed esuberante;2026-05-26T14:36:44.6805369+00:00
atmosphere-relaxed-and-cosy;atmosphere;relaxed and cosy;entspannt-gemütlich;Détendu et confortable;rilassato e accogliente;2026-05-26T14:58:14.2024897+00:00
atmosphere-traditional;atmosphere;traditional;traditionell;traditionnel;tradizionale;2026-05-26T14:36:44.4337968+00:00
atmosphere;atmosphere;Mood;Stimmung;Humeur;Umore;2026-05-26T14:36:46.1295965+00:00
audience-age-10;audience-age;From 10 years;Ab 10 Jahre;A partir de 10 ans;Da 10 anni;2026-05-26T14:58:15.3010877+00:00
audience-age-11;audience-age;From 11 years;Ab 11 Jahre;A partir de 11 ans;Da 11 anni;2026-05-26T14:58:15.9842421+00:00
audience-age-12;audience-age;From 12 years;Ab 12 Jahre;A partir de 12 ans;Da 12 anni;2026-05-26T14:58:17.9012+00:00
audience-age-13;audience-age;From 13 years;Ab 13 Jahre;A partir de 13 ans;Da 13 anni;2026-05-26T14:36:49.0354551+00:00
audience-age-14;audience-age;From 14 years;Ab 14 Jahre;A partir de 14 ans;Dai 14 anni;2026-05-26T14:36:50.636401+00:00
audience-age-15;audience-age;From 15 years;Ab 15 Jahre;A partir de 15 ans;Dai 15 anni;2026-05-26T14:37:12.1035379+00:00
audience-age-16;audience-age;From 16 years;Ab 16 Jahre;A partir de 16 ans;Dai 16 anni;2026-05-26T14:58:19.9914295+00:00
audience-age-17;audience-age;From 17 years;Ab 17 Jahre;A partir de 17 ans;Dai 17 anni;2026-05-26T14:58:21.8871058+00:00
audience-age-18;audience-age;From 18 years;Ab 18 Jahre;A partir de 18 ans;Dai 18 anni;2026-05-26T14:58:22.2897307+00:00
audience-age-6;audience-age;From 6 years;Ab 6 Jahre;A partir de 6 ans;Dai 6 anni;2026-05-26T14:58:28.6749008+00:00
audience-age-8;audience-age;From 8 years;Ab 8 Jahre;A partir de 8 ans;Da 8 anni;2026-05-26T14:58:33.575525+00:00
audience-age-till-12;audience-age;up to 12 years;bis 12 Jahre;jusqu’à 12 ans;fino a 12 anni;2026-05-26T14:58:39.7595527+00:00
audience-age-till-16;audience-age;up to 16 years;bis 16 Jahre;jusqu’à 16 ans;fino a 16 anni;2026-05-26T14:58:42.832407+00:00
audience-group-adults;audience-group;Adults;Erwachsene;Adulte;Adulti;2026-05-26T14:37:24.1127529+00:00
audience-group-children;audience-group;Children;Kinder;Enfants;Bambini;2026-05-26T14:58:41.2915187+00:00
audience-group-family;audience-group;Families;Familien;Famille;Famiglie;2026-05-26T14:37:28.121149+00:00
audience-group-female;audience-group;Women;Frauen;Femme;Donne;2026-05-26T14:58:43.2450877+00:00
audience-group-handicaped;audience-group;People with disabilities;Menschen mit Behinderungen;Personnes handicapées;Persone con disabilità;2026-05-26T14:59:34.8371475+00:00
audience-group-infants;audience-group;Infants up to approx. 6 years;Kleinkinder bis ca. 6 Jahre;Nourrissons jusqu’à environ 6 ans;Neonati fino a circa 6 anni;2026-05-26T14:58:50.0256641+00:00
audience-group-male;audience-group;Men;Männer;Hommes;Uomini;2026-05-26T14:37:31.8441512+00:00
audience-group-parents;audience-group;Parents;Eltern;Parents;Genitori;2026-05-26T14:37:33.4937775+00:00
audience-group-seniors;audience-group;Seniors;Senioren;Aînés;Anziani;2026-05-26T14:37:36.0258005+00:00
audience-group-lgbt;audience-group;LGBT+;LGBT+;LGBT+;LGBT+;2026-05-26T14:37:30.207881+00:00
audience-group-singles;audience-group;Alleinstehende_Singles;Alleinstehende_Singles;Alleinstehende_Singles;Alleinstehende_Singles;2026-05-26T14:38:28.7494475+00:00
audience-group-students;audience-group;Students;Studenten;Étudiants;Studenti;2026-05-26T14:38:29.2048044+00:00
audience-group-youth;audience-group;Adolescent;Jugendliche;Adolescent;Adolescente;2026-05-26T14:38:29.7636564+00:00
audience-info-age;audience-info;Rating;Altersfreigabe;Notation;Valutazione;2026-05-26T14:38:31.6609544+00:00
audience-info-all;audience-info;Open to all;Offen für alle;Ouvert à tous;Aperto a tutti;2026-05-26T14:58:53.1301209+00:00
audience-info-children;audience-info;Also recommended for children;Auch für Kinder empfehlenswert;Également recommandé pour les enfants;Consigliato anche per i bambini;2026-05-26T14:38:32.4047381+00:00
audience-info-groups;audience-info;Also suitable for groups / companies (special offers);Auch für Gruppen / Firmen geeignet (Spezialangebote);Convient également aux groupes / entreprises (offres spéciales);Adatto anche per gruppi / aziende (offerte speciali);2026-05-26T14:38:48.3242813+00:00
audience-info-invitationonly;audience-info;By invitation;Auf Einladung;Sur invitation;Su invito;2026-05-26T14:38:50.585883+00:00
audience-group-mixed;audience-group;Mixed (Men & Women);Gemischt (Männer & Frauen);Mixte (Hommes & Femmes);Misto (Uomini e Donne);2026-05-26T14:38:52.595279+00:00
audience-info-membersonly;audience-info;For members only;Nur für Mitglieder;Pour les membres seulement;Solo per i membri;2026-05-26T14:59:09.0600608+00:00
audience-info-school;audience-info;Also suitable for school classes (special offers);Auch für Schulklassen geeignet (Spezialangebote);Convient également aux classes scolaires (offres spéciales);Adatto anche per scolaresche (offerte speciali);2026-05-26T14:59:10.0109968+00:00
audience-information-playtime-aftermidnight;audience-information-playtime;after midnight;nach Mitternacht;après minuit;dopo la mezzanotte;2026-05-26T14:38:52.180793+00:00
audience-information-playtime-afternoon;audience-information-playtime;in the afternoon;nachmittags;dans l’après-midi;nel pomeriggio;2026-05-26T14:38:53.3702216+00:00
audience-information-playtime-evening;audience-information-playtime;only in the evening;nur abends;seulement le soir;solo la sera;2026-05-26T14:38:54.583886+00:00
audience-information-playtime-lunchtime;audience-information-playtime;Only at noon;nur mittags;Seulement à midi;Solo a mezzogiorno;2026-05-26T14:59:33.8504196+00:00
audience-information-playtime-morning;audience-information-playtime;only in the morning;nur morgens;seulement le matin;solo al mattino;2026-05-26T14:59:35.8864127+00:00
audience-information-playtime-nocturne;audience-information-playtime;at midnight;um Mitternacht;à minuit;a mezzanotte;2026-05-26T14:59:39.116257+00:00
